student_id,attendance_rate,avg_assignment_delay,lms_login_per_week,study_hours_per_week,grade_average,sentiment_score,stress_level,sleep_hours,extracurricular_participation,burnout_score,burnout_level
1,62.472407130841745,2.6170568373590597,11.439917565671855,25.93027816311288,79.61473581710675,-0.252718363066603,6.888756893806504,3.4390505926080124,0,54.411302524573806,Medium
2,97.04285838459498,2.469787990719998,16.108646585999725,6.895454484206649,77.80056524272203,-0.33417580753719345,1.72029312789343,3.536870297894504,2,26.045377343372287,Low
3,83.9196365086843,9.062545805210366,15.20321859580318,34.8957825341926,45.266480926484675,-0.6476921749942799,3.180968303083651,6.911842283537764,3,43.39127530966295,Medium
4,75.91950905182219,2.495461998495061,3.0779980938754736,24.52464956276966,90.741482269819,0.21453334020297588,7.963114118313257,5.9216442794354895,1,51.89625476244945,Medium
5,49.36111842654619,2.71949726128631,2.984989394829478,6.28815534227817,71.26597111862507,-0.04675167898274224,5.758172683109377,7.742491501915262,5,57.72712486297496,Medium
6,49.35967122017216,7.593982624179637,5.3634873548982664,38.49352229924827,60.00490366246264,0.7314019846480073,9.351721556083403,8.49762502406119,4,66.03650608004617,High
7,43.48501673009197,4.4973984245054,7.221494526820744,20.734618533412824,81.60962209224186,-0.9357808390358835,4.858762675072189,5.3302012660292855,4,61.95729252489425,Medium
8,91.97056874649611,7.767105569551812,8.169111628169652,2.9159380748662,54.15510021208988,0.2877358551102527,8.828311292325306,6.578460159507878,1,71.16975333400275,High
9,76.06690070459253,0.6536615756438524,13.593944336666905,25.073316176602688,78.14304103754762,0.5258977570231222,5.0405989373041376,6.004179766771859,2,29.00160957402093,Low
10,82.48435466776273,4.875711936733843,1.133608643316708,10.127956280512409,42.1841164164736,0.5189731383766141,9.813234508317867,8.889663933854598,5,67.4652559802727,High
11,41.23506965774815,0.3361360018328263,0.6934540845213277,32.1477380750921,86.16744206850996,0.7721479341910502,9.638509432589892,7.986506444139571,1,56.43727337390337,Medium
12,98.19459112971967,0.6265320345535452,7.8382112588781805,32.712882942647624,64.64939658617251,0.45806748565898814,3.962230350004723,8.470426249664122,3,15.08178286783772,Low
13,89.94655844802531,9.06437453344411,13.94327384275961,39.15789423418647,75.0181102896868,0.8556201232953926,8.973313033751229,4.526040525465625,5,54.8396831351815,Medium
14,52.74034664069657,1.3924537111759516,3.8687068591296514,20.074781240980148,52.1680800893676,-0.3346868003582171,8.628502367940843,7.635158538975566,0,66.7804652235913,High
15,50.909498032426036,5.324206822752171,12.830089625125034,18.198275189109484,77.23905419621464,0.006418833503086141,2.8961235759480655,4.592839349985893,2,42.41012803515979,Medium
16,51.00427059120603,4.110956026007066,5.196562758805989,30.139024217859223,82.47321517413022,-0.9718406734342186,6.6186136070494275,4.252455200570339,5,65.10879030114299,Medium
17,58.254534577572265,3.4734332625884266,17.721722176270326,5.2988262536770625,66.02672527864193,-0.9860848253934176,1.6541408403083337,8.665596957933305,0,45.59768999037542,Medium
18,71.48538589793426,8.998333456872725,17.91379888533233,21.87662055172497,73.97498082339868,-0.5197467590969602,8.530396485251154,3.1158265003072,1,78.63347018974048,High
19,65.91670111852694,0.218233967754895,5.945744085626529,21.849904005234038,65.09792581023191,-0.7983856057218295,2.5709129515314686,8.792332221980578,4,32.98777013512094,Low
20,57.47374841188251,6.637896861755891,4.599875079264811,3.5789249124154887,89.1750253091815,-0.4795772641284928,1.6373323124718806,3.8955713819328373,5,47.733546602598466,Medium
21,76.71117368334276,9.633944342135504,8.226079441324625,16.719363420276544,67.38280492828756,-0.6459134109432052,4.601971859849301,7.916628490759609,5,61.20618347119547,Medium
22,48.36963163912251,5.60168183461842,4.810631703602974,34.131391942688076,86.29947899658504,-0.9429599503227035,6.192299247396791,4.655535318408619,0,64.81546962528041,Medium
23,57.528678912113094,9.368224620330919,13.447676865834072,34.246144879786414,84.07436320486367,0.8186082928120988,8.69425262703794,5.104213964584364,0,64.91525995564514,Medium
24,61.9817105976215,0.5225787928602377,16.52129369096571,3.96950659678724,62.57776517415961,-0.983553737222217,9.768182729695628,4.30054626793191,4,81.77024473079058,High
25,67.36419905302216,4.187933190741614,13.46184261822434,3.628835309913234,52.654647052161124,0.4721642886741708,4.955432613128773,6.513084254886477,0,47.39712234078534,Medium
26,87.11055768358082,2.6015779096205116,16.48700894498699,10.507819080077411,62.3345172907874,-0.6957042261609669,1.544022306867432,5.088573285047245,0,30.408036537799507,Low
